otel_ad,fiyat,Predicted Price (SVR & RF),Price Difference,Fair Price Percentage,Fair Price Range
Alanya Risus Park Hotel,5905.9,9698.0,-3792.1000000000004,64.21,Significantly Overpriced
Filizce Alaçatı,7000.0,9761.5,-2761.5,39.45,Significantly Overpriced
Falcon 1511,12800.0,11070.0,1730.0,13.52,Overpriced
En Vie Beach Boutique Hotel,10461.6,11449.4,-987.7999999999993,9.44,Slight Overpriced
Güllü Konak,23594.9,16455.5,7139.4000000000015,30.26,Significantly Overpriced
Pineta Park Deluxe Hotel,17640.0,14065.8,3574.2000000000007,20.26,Significantly Overpriced
Foça Antik Otel,11800.0,18155.4,-6355.4000000000015,53.86,Significantly Overpriced
Ayhan Hotel Antalya,10811.7,8911.4,1900.300000000001,17.58,Overpriced
Emelda Sun Club,14400.0,17375.6,-2975.5999999999985,20.66,Significantly Overpriced
Patara Prince Resort,8868.3,20137.0,-11268.7,127.07,Significantly Overpriced
Amossia Elite Otel,10567.0,10221.8,345.2000000000007,3.27,Fair
Bilkay Hotel,5100.0,8613.2,-3513.2000000000007,68.89,Significantly Overpriced
Belcan Hotel,2346.2,8540.0,-6193.8,263.99,Significantly Overpriced
Patron Hotel,7200.0,8983.8,-1783.7999999999993,24.77,Significantly Overpriced
Ramada Encore By Wyndham İzmir,11969.3,12413.6,-444.3000000000011,3.71,Fair
Blue Bay Beach Hotel,7500.0,11107.6,-3607.6000000000004,48.1,Significantly Overpriced
Fortezza Beach Resort,11815.2,15733.5,-3918.2999999999993,33.16,Significantly Overpriced
Casa Mimosa,20000.0,15427.2,4572.799999999999,22.86,Significantly Overpriced
Candan City Beach Otel,10000.0,10100.3,-100.29999999999927,1.0,Fair
Peninsula Gardens Hotel,28080.5,24591.7,3488.7999999999993,12.42,Overpriced
Ramada Plaza By Wyndham İzmir,12780.0,10356.0,2424.0,18.97,Overpriced
Blue Marina Hotel Spa,7617.0,11790.2,-4173.200000000001,54.79,Significantly Overpriced
Can Adalya Palace Hotel,4968.3,7540.0,-2571.7,51.76,Significantly Overpriced
Gümüldür Mavi Deniz Otel,15525.0,13879.6,1645.3999999999996,10.6,Overpriced
Club Marakesh Beach Kemer,5743.2,9723.1,-3979.9000000000005,69.3,Significantly Overpriced
Club Sema Suite Hotel,13883.3,12061.3,1822.0,13.12,Overpriced
Çandarlı Resort Otel,5550.0,10752.0,-5202.0,93.73,Significantly Overpriced
Hidayetin Yeri Butik Otel,12000.0,15596.3,-3596.2999999999993,29.97,Significantly Overpriced
Belpoint Beach Hotel,5850.0,8915.5,-3065.5,52.4,Significantly Overpriced
Petunya Konak Butik Otel,15196.0,9451.4,5744.6,37.8,Significantly Overpriced
Amour Alaçatı Butik Otel,15996.0,12260.4,3735.6000000000004,23.35,Significantly Overpriced
Pyara Hotel Turunç,11654.9,11208.6,446.2999999999993,3.83,Fair
Silenos Boutique Hotel,12000.0,13183.9,-1183.8999999999996,9.87,Slight Overpriced
Seçkin Best Hotel Bodrum,8486.4,8440.4,46.0,0.54,Fair
Sealife Lounge Hotel,9200.0,10048.0,-848.0,9.22,Slight Overpriced
Queen Boutique Hotel,5400.0,9477.4,-4077.3999999999996,75.51,Significantly Overpriced
Taşev Butik Otel,7647.2,14450.5,-6803.3,88.96,Significantly Overpriced
Solo Boutique Hotel,18400.0,12558.1,5841.9,31.75,Significantly Overpriced
Blue Diamond Alya Hotel,10245.6,13061.8,-2816.199999999999,27.49,Significantly Overpriced
Kapela Taş Otel Alaçatı,8000.0,10343.4,-2343.3999999999996,29.29,Significantly Overpriced
Hotel Karacam,13765.0,12418.0,1347.0,9.79,Slight Overpriced
İon Slow City Adult Only (+12),9600.0,13527.4,-3927.3999999999996,40.91,Significantly Overpriced
Hotel Gold Stone,3000.0,8512.1,-5512.1,183.74,Significantly Overpriced
Bodrum Vera Hotel,6952.0,8071.1,-1119.1000000000004,16.1,Overpriced
Çeşme Ladin Otel,9900.0,16162.9,-6262.9,63.26,Significantly Overpriced
Hotel 212,10374.0,10120.8,253.20000000000073,2.44,Fair
Hildegard Hotel,9458.9,10999.1,-1540.2000000000007,16.28,Overpriced
Sey Beach Hotel Spa,13942.7,13089.2,853.5,6.12,Slight Overpriced
Veranda Suites,9476.5,8110.9,1365.6000000000004,14.41,Overpriced
Vadi Boutique Hotel,8160.0,9283.1,-1123.1000000000004,13.76,Overpriced
De Mare Family Hotel,4000.0,10732.6,-6732.6,168.32,Significantly Overpriced
Cleopatra Golden Beach,11100.0,13142.4,-2042.3999999999996,18.4,Overpriced
Caprice Beach Hotel,12922.5,16718.9,-3796.4000000000015,29.38,Significantly Overpriced
Karyatit Hotel,6828.2,10694.7,-3866.500000000001,56.63,Significantly Overpriced
Club Herakles Hotel,4200.0,10507.6,-6307.6,150.18,Significantly Overpriced
Start Otel,5686.2,7659.9,-1973.6999999999998,34.71,Significantly Overpriced
Melissa Moment Apart,6750.0,9264.1,-2514.1000000000004,37.25,Significantly Overpriced
Lucky Angel Otel,9072.4,9931.0,-858.6000000000004,9.46,Slight Overpriced
Delta Hotel Didim,5200.0,10678.8,-5478.799999999999,105.36,Significantly Overpriced
Kekik Alaçatı Otel Mayko,5800.0,14425.7,-8625.7,148.72,Significantly Overpriced
My Adress Alaçatı,48956.3,22263.3,26693.000000000004,54.52,Significantly Overpriced
Khai Hotel Bodrum,28503.2,15063.8,13439.400000000001,47.15,Significantly Overpriced
Doğan Beach Resort,18830.5,13956.6,4873.9,25.88,Significantly Overpriced
Vinifera Ephesus Hotel,10323.7,11041.6,-717.8999999999996,6.95,Slight Overpriced
Villa Sonata Hotel,6575.2,11570.7,-4995.500000000001,75.97,Significantly Overpriced
La Siete Hotel,12513.6,11960.7,552.8999999999996,4.42,Fair
Club Hotel Sidelya,16184.0,14235.2,1948.7999999999993,12.04,Overpriced
La Mira Suites,7700.0,11820.7,-4120.700000000001,53.52,Significantly Overpriced
Sun Pearl Resort Çeşme,10800.0,18168.3,-7368.299999999999,68.22,Significantly Overpriced
Zübeyde Hanım Otel Alaçatı,4400.0,10507.6,-6107.6,138.81,Significantly Overpriced
Ados Hotel,3600.0,9771.4,-6171.4,171.43,Significantly Overpriced
Terra Rossa,4004.3,6400.8,-2396.5,59.85,Significantly Overpriced
Doğan Paradise Family Club,18830.5,13072.5,5758.0,30.58,Significantly Overpriced
Club Sun Heaven Sea Bird Beach Otel,6681.6,12701.9,-6020.299999999999,90.1,Significantly Overpriced
Cooks Club Alanya +12 Adult Only,11262.2,13527.4,-2265.199999999999,20.11,Significantly Overpriced
Qinn Hotel,9864.0,11700.4,-1836.3999999999996,18.62,Overpriced
Radisson Blu Hotel Kaş +12 Adults Only,30032.6,13527.4,16505.199999999997,54.96,Significantly Overpriced
Turunç Dream Hotel,6300.0,9865.5,-3565.5,56.6,Significantly Overpriced
Lemon Garden,17600.0,12852.7,4747.299999999999,26.97,Significantly Overpriced
Gün-ay Otel,5881.4,9269.2,-3387.800000000001,57.6,Significantly Overpriced
The Lifeco Bodrum,90376.0,36934.3,53441.7,59.13,Significantly Overpriced
Lara Park Hotel,8568.0,10023.8,-1455.7999999999993,16.99,Overpriced
Grand Zeybek İzmir,4449.2,7027.6,-2578.4000000000005,57.95,Significantly Overpriced
İsla Panorama,7938.0,10018.9,-2080.8999999999996,26.21,Significantly Overpriced
Gümbet Anıl Beach,8971.5,11496.2,-2524.7000000000007,28.14,Significantly Overpriced
Extenso Hotel,9021.6,10891.6,-1870.0,20.73,Significantly Overpriced
Costa Farilya Special Class Hotel Bodrum,20700.0,13351.5,7348.5,35.5,Significantly Overpriced
Life Point Boutique Hotel,12000.0,14949.9,-2949.8999999999996,24.58,Significantly Overpriced
Alaçatı Private Otel,6003.0,8154.3,-2151.3,35.84,Significantly Overpriced
Hotel Labella Bergama,8400.0,10291.3,-1891.2999999999993,22.52,Significantly Overpriced
Yörük Ali Yayla Evleri,11720.0,10507.6,1212.3999999999996,10.34,Overpriced
Alaçatı Limonaia Hotel +10,13596.0,13527.4,68.60000000000036,0.5,Fair
Hotel Finike Marine,5777.2,11902.0,-6124.8,106.02,Significantly Overpriced
Hotel Paris Prestige,8352.0,10192.5,-1840.5,22.04,Significantly Overpriced
Hotel Royal Hill,9982.0,10953.7,-971.7000000000007,9.73,Slight Overpriced
Fun And Sun Club Saphire,12920.0,18551.6,-5631.5999999999985,43.59,Significantly Overpriced
Göbene Otel Alaçatı,15316.4,11894.0,3422.3999999999996,22.34,Significantly Overpriced
Lord Marina Hotel Bungalows,13600.0,13397.9,202.10000000000036,1.49,Fair
Carmen Suite Hotel,5294.1,10147.5,-4853.4,91.68,Significantly Overpriced
Maison Green Hill,10500.0,12830.3,-2330.2999999999993,22.19,Significantly Overpriced
Hotel Torbahan Beach Resort,20973.9,18609.2,2364.7000000000007,11.27,Overpriced
İntermar Marmaris,4000.0,8814.0,-4814.0,120.35,Significantly Overpriced
Lvzz Hotel Residencess Spa,14000.0,11304.0,2696.0,19.26,Overpriced
Villa Saray,10200.0,9490.6,709.3999999999996,6.95,Slight Overpriced
Casa Luna Hotel Alaçatı,20384.0,12294.5,8089.5,39.69,Significantly Overpriced
Jasmin Elite Residence Spa,13733.6,12407.0,1326.6000000000004,9.66,Slight Overpriced
Doğanın Ruhu Otel Bungalow,7940.0,14800.3,-6860.299999999999,86.4,Significantly Overpriced
Çeşme Marina Konuk Evi,20173.8,15910.9,4262.9,21.13,Significantly Overpriced
Zena Hotel Bodrum,6860.0,9766.4,-2906.3999999999996,42.37,Significantly Overpriced
Serin Otel,10000.0,11086.1,-1086.1000000000004,10.86,Overpriced
777 Alaçatı,16000.0,15058.6,941.3999999999996,5.88,Slight Overpriced
L`olive Homes Marmaris,13915.8,11213.4,2702.3999999999996,19.42,Overpriced
1882 Alaçatı,13780.8,10448.2,3332.5999999999985,24.18,Significantly Overpriced
Adacan Alaçatı,14875.0,10988.1,3886.8999999999996,26.13,Significantly Overpriced
Alacope Alaçatı,12000.0,12230.4,-230.39999999999964,1.92,Fair
Ahsen Hotel,3291.7,6519.8,-3228.1000000000004,98.07,Significantly Overpriced
Dream Town Hotel,5040.0,10929.6,-5889.6,116.86,Significantly Overpriced
Alaçatı Balbadem Otel,11885.5,10084.2,1801.2999999999993,15.16,Overpriced
Alaçatı Cadde 75 Luxury +18 Adult,21560.0,13527.4,8032.6,37.26,Significantly Overpriced
Riva Alaçatı,8000.0,10232.9,-2232.8999999999996,27.91,Significantly Overpriced
Regulus Beach Resort,7600.0,12037.9,-4437.9,58.39,Significantly Overpriced
Kemerlihan Deluxe Hotel,3750.0,10336.2,-6586.200000000001,175.63,Significantly Overpriced
Elegance East Hotel,6641.1,8925.1,-2284.0,34.39,Significantly Overpriced
Sakız Kızı Alaçatı Butik Otel,5500.0,10425.8,-4925.799999999999,89.56,Significantly Overpriced
Kimera Lounge Hotel Çıralı,9040.0,11600.3,-2560.2999999999993,28.32,Significantly Overpriced
Alaçatı Sörf Hotel,9350.0,8904.3,445.7000000000007,4.77,Fair
Apaz Alaçatı,13600.0,9697.2,3902.7999999999993,28.7,Significantly Overpriced
Alaçatı Otel Rebetiko,5950.0,7514.8,-1564.8000000000002,26.3,Significantly Overpriced
Aybel İnn Hotel,4725.5,9262.2,-4536.700000000001,96.0,Significantly Overpriced
Antalya Business Hotel,13017.8,9516.5,3501.2999999999993,26.9,Significantly Overpriced
Anchor Alaçatı,7000.0,10988.1,-3988.1000000000004,56.97,Significantly Overpriced
Alaçatı Xl Luxury,7608.2,9734.3,-2126.0999999999995,27.94,Significantly Overpriced
Aslı Bungalow,12600.0,13527.4,-927.3999999999996,7.36,Slight Overpriced
Anar Hotel,18000.0,15630.8,2369.2000000000007,13.16,Overpriced
Alya Sierra Villa Hotel,10000.0,9471.2,528.7999999999993,5.29,Slight Overpriced
Artof Alaçatı,10000.0,11141.1,-1141.1000000000004,11.41,Overpriced
Bayındır Palme Hotel,4866.4,6569.2,-1702.8000000000002,34.99,Significantly Overpriced
Tema 242 Hotel,2113.4,8045.2,-5931.799999999999,280.68,Significantly Overpriced
Bedroom Alaçatı,5750.0,9722.7,-3972.7000000000007,69.09,Significantly Overpriced
Bodrum Kayası Dağ Oteli,9000.0,10886.5,-1886.5,20.96,Significantly Overpriced
Bo Alaçatı,13000.0,11379.8,1620.2000000000007,12.46,Overpriced
Veltur Turiya Hotel Spa,11600.0,17838.7,-6238.700000000001,53.78,Significantly Overpriced
Ada Capra Otel,14599.2,16630.1,-2030.8999999999978,13.91,Overpriced
Boulevard Hotel,7480.0,11108.7,-3628.7000000000007,48.51,Significantly Overpriced
Adrasan La Casita Boutique Hotel,8800.0,9861.6,-1061.6000000000004,12.06,Overpriced
Sonnen Hotel,9963.0,10600.8,-637.7999999999993,6.4,Slight Overpriced
3 House Apart,23920.0,14509.7,9410.3,39.34,Significantly Overpriced
Adil Butik Otel,15294.4,13554.5,1739.8999999999996,11.38,Overpriced
Şifne Thermal Hotel,14000.0,13305.5,694.5,4.96,Fair
Tash Mekan Butik Otel,8500.0,9766.7,-1266.7000000000007,14.9,Overpriced
Amour Köy İçi,11996.0,11131.9,864.1000000000004,7.2,Slight Overpriced
Alanarin Alaçatı,18200.3,14963.8,3236.5,17.78,Overpriced
Alaçatı Marina Palace,22400.0,16267.8,6132.200000000001,27.38,Significantly Overpriced
Alina Otel Kaş,13500.0,11564.6,1935.3999999999996,14.34,Overpriced
Alaçatı Sultan Konak,11509.0,9692.4,1816.6000000000004,15.78,Overpriced
Ali`s Boutique Hotel,24000.0,16741.8,7258.200000000001,30.24,Significantly Overpriced
Alaçatı Sade Otel,17576.2,13799.8,3776.4000000000015,21.49,Significantly Overpriced
Alaçatı Roka Taş Otel,10000.0,8771.0,1229.0,12.29,Overpriced
Alice Tatil Evi,16076.8,15773.8,303.0,1.88,Fair
Buca Residence Otel,7000.0,10563.1,-3563.1000000000004,50.9,Significantly Overpriced
Antmare Hotel,21516.6,16400.1,5116.5,23.78,Significantly Overpriced
Club Wasa Holiday Village,9253.4,10507.6,-1254.2000000000007,13.55,Overpriced
Boutique Nergiz Hotel,4800.0,9278.2,-4478.200000000001,93.3,Significantly Overpriced
Arts Hotel Bodrum Yalıkavak,6800.0,10570.9,-3770.8999999999996,55.45,Significantly Overpriced
Aroma Butik Hotel,11200.0,11705.7,-505.7000000000007,4.52,Fair
Armel Alaçatı,13139.3,9768.9,3370.3999999999996,25.65,Significantly Overpriced
Castle Old Town Hotel,8903.6,9991.3,-1087.699999999999,12.22,Overpriced
Aspat Hotel Bodrum Beach Restaurant,48385.9,22937.3,25448.600000000002,52.6,Significantly Overpriced
Coordinat Suits,9890.0,11915.4,-2025.3999999999996,20.48,Significantly Overpriced
Aspen Hotel,6120.0,10260.4,-4140.4,67.65,Significantly Overpriced
Bergama Taşkonak,6200.0,12228.9,-6028.9,97.24,Significantly Overpriced
Bambu Alaçatı,10000.0,9773.0,227.0,2.27,Fair
Costa Maya Bodrum,8934.7,13215.8,-4281.0999999999985,47.92,Significantly Overpriced
Belsea Hotel,12520.8,10656.2,1864.5999999999985,14.89,Overpriced
Belong Butik Hotel,4796.0,10507.6,-5711.6,119.09,Significantly Overpriced
Avantgarde Refined Yalıkavak,9732.8,12174.1,-2441.300000000001,25.08,Significantly Overpriced
Bu Bungalow Hotel,8800.0,9470.1,-670.1000000000004,7.61,Slight Overpriced
Blue White Hotel,13069.7,12142.6,927.1000000000004,7.09,Slight Overpriced
Bodrum Marma Otel,5940.0,7841.1,-1901.1000000000004,32.01,Significantly Overpriced
Chez Rumi Butik Otel Şirince,8000.0,10440.9,-2440.8999999999996,30.51,Significantly Overpriced
Dionisus Lara Otel,4896.0,8628.8,-3732.7999999999993,76.24,Significantly Overpriced
Char Me Hotel,18900.0,12798.5,6101.5,32.28,Significantly Overpriced
Caresse A Luxury Collection Resort Spa,94828.2,20185.2,74643.0,78.71,Significantly Overpriced
Cocopalm Boutique Hotel,24000.0,15249.3,8750.7,36.46,Significantly Overpriced
Casa Bi Otel,43920.0,24937.2,18982.8,43.22,Significantly Overpriced
Coastline Boutique Hotel,7400.0,9411.8,-2011.7999999999993,27.19,Significantly Overpriced
Club Çapa,7195.1,15550.3,-8355.199999999999,116.12,Significantly Overpriced
Elda Köyiçi Alaçatı,4840.0,8988.6,-4148.6,85.71,Significantly Overpriced
Elda Alaçatı Butik Otel,6700.0,7476.4,-776.3999999999996,11.59,Overpriced
Çeşme Marin Butik Otel,18394.9,12467.1,5927.800000000001,32.23,Significantly Overpriced
The Sansa Hotel,7760.0,8779.5,-1019.5,13.14,Overpriced
Dionysos 1789 Boutique Hotel,6730.5,12013.9,-5283.4,78.5,Significantly Overpriced
Der Inn Hotel Lara,6131.6,10403.1,-4271.5,69.66,Significantly Overpriced
Dolunay Suit Beach,11900.0,10425.8,1474.2000000000007,12.39,Overpriced
Dolphin Butik Otel,17850.0,15443.9,2406.1000000000004,13.48,Overpriced
Ena Boutique Hotel,15068.4,11607.8,3460.6000000000004,22.97,Significantly Overpriced
Deniz Kızı Otel,13124.0,12365.5,758.5,5.78,Slight Overpriced
Ena Serenity Boutique Hotel,6800.0,8044.8,-1244.8000000000002,18.31,Overpriced
Dream Time Hotel,8309.5,9028.0,-718.5,8.65,Slight Overpriced
Esmeralda Butik Otel,22530.9,10240.7,12290.2,54.55,Significantly Overpriced
Evin Park Suit,11386.6,9605.7,1780.8999999999996,15.64,Overpriced
Espira By Antioch,12400.0,9788.6,2611.3999999999996,21.06,Significantly Overpriced
Fener Konaklama,20000.0,14174.0,5826.0,29.13,Significantly Overpriced
Espina Hotel,11298.2,9067.9,2230.300000000001,19.74,Overpriced
Ertan Otel Çeşme,10200.0,13976.7,-3776.7000000000007,37.03,Significantly Overpriced
Perla Otel Dikili,6600.0,10417.9,-3817.8999999999996,57.85,Significantly Overpriced
Geo Beach Hotel,5500.0,10137.9,-4637.9,84.33,Significantly Overpriced
Gümüş Peninsula Hotel,20100.4,15782.5,4317.9000000000015,21.48,Significantly Overpriced
Etiz Hotels Alaçatı,4226.8,8771.2,-4544.400000000001,107.51,Significantly Overpriced
Hera Hotels Alaçatı,10000.0,9780.6,219.39999999999964,2.19,Fair
Hill House (Adult Only),16267.6,13527.4,2740.2000000000007,16.84,Overpriced
Helis Suites Bitez,20927.4,11702.4,9225.000000000002,44.08,Significantly Overpriced
Hillcity Hotel Kaş,12399.1,12202.0,197.10000000000036,1.59,Fair
Hadrian Gate Hotel,9698.0,9218.5,479.5,4.94,Fair
Hotel 1207 Special Class,9708.1,9473.2,234.89999999999964,2.42,Fair
Hotel B House Alaçatı,34000.0,20426.9,13573.099999999999,39.92,Significantly Overpriced
Expo Park Hotel,17200.0,13929.5,3270.5,19.01,Overpriced
Houdini Hotel Urla,10000.0,11542.4,-1542.3999999999996,15.42,Overpriced
İlios Butik Hotel,14520.0,12589.4,1930.6000000000004,13.3,Overpriced
"G Beyond Apartments Villas, Yalıkavak",13868.2,13527.4,340.8000000000011,2.46,Fair
İğdeli Han Suite,18000.0,9735.2,8264.8,45.92,Significantly Overpriced
Hotel Pier Bodrum,9760.0,8464.8,1295.2000000000007,13.27,Overpriced
Gözegir Hotel +16,10010.8,13527.4,-3516.6000000000004,35.13,Significantly Overpriced
Isolina Bodrum,12902.8,13765.3,-862.5,6.68,Slight Overpriced
İberis Lara Hotel,5007.0,6875.5,-1868.5,37.32,Significantly Overpriced
Just Dream Suite,6000.0,8463.2,-2463.2000000000007,41.05,Significantly Overpriced
İmaj Beach Otel,11200.0,12778.1,-1578.1000000000004,14.09,Overpriced
Joya Del Mar Hotel,28800.0,19388.1,9411.900000000001,32.68,Significantly Overpriced
June Alaçatı (15+ Adult Only),19200.0,13527.4,5672.6,29.54,Significantly Overpriced
İrenic Hotel,9385.2,9851.9,-466.6999999999989,4.97,Fair
İnci Mira Hotel,7791.5,9345.0,-1553.5,19.94,Overpriced
Kalamar Hotel,8721.4,11366.0,-2644.6000000000004,30.32,Significantly Overpriced
La Luna Butik Otel,10117.0,13527.4,-3410.3999999999996,33.71,Significantly Overpriced
Kaliptus Hotel,4200.0,8532.4,-4332.4,103.15,Significantly Overpriced
Lal Azure Hotel Alaçatı,9996.0,10561.3,-565.2999999999993,5.66,Slight Overpriced
Jura Hotels Bodrum Resort,8703.5,10970.1,-2266.6000000000004,26.04,Significantly Overpriced
La Cactus Butik Otel,9732.8,11094.6,-1361.800000000001,13.99,Overpriced
Kalkan Saray Suites (Adult Only +13),13920.0,13527.4,392.60000000000036,2.82,Fair
Lacitrus Villa Hotel,10015.1,11195.0,-1179.8999999999996,11.78,Overpriced
Kamelya Otel Selimiye,10000.0,11271.6,-1271.6000000000004,12.72,Overpriced
Lavender Otel,4400.0,9503.7,-5103.700000000001,115.99,Significantly Overpriced
La Vida Triangulo Hotel,23000.0,9768.4,13231.6,57.53,Significantly Overpriced
Lara Garden Hotel,7369.1,8329.0,-959.8999999999996,13.03,Overpriced
Lazz Hotel By Ketenci,8148.0,9891.1,-1743.1000000000004,21.39,Significantly Overpriced
Lara Beach Homes,5151.4,7274.1,-2122.7000000000007,41.21,Significantly Overpriced
Korsan Ada Hotel,9465.8,12612.8,-3147.0,33.25,Significantly Overpriced
Likya Gardens Hotel,27484.0,18856.2,8627.8,31.39,Significantly Overpriced
Leaf River Suites,11682.7,9275.1,2407.6000000000004,20.61,Significantly Overpriced
Likya Pavilion Hotel,44009.5,20070.6,23938.9,54.39,Significantly Overpriced
London House Hotel,2795.0,8822.5,-6027.5,215.65,Significantly Overpriced
Leylak Alaçatı,10000.0,10406.1,-406.10000000000036,4.06,Fair
Lemon Park House,4500.0,10186.3,-5686.299999999999,126.36,Significantly Overpriced
Likya Residence Hotel Spa,25869.4,23514.1,2355.300000000003,9.1,Slight Overpriced
Lilyum Alaçatı Taş Ev,7900.0,10266.8,-2366.7999999999993,29.96,Significantly Overpriced
Lukka Exclusive Hotel,24909.2,19627.5,5281.700000000001,21.2,Significantly Overpriced
Lures Hotel,36960.0,23139.6,13820.400000000001,37.39,Significantly Overpriced
Lilium Boutique Hotel,11394.6,8729.1,2665.5,23.39,Significantly Overpriced
Livaneli Boutique Hotel,7000.0,10453.8,-3453.7999999999993,49.34,Significantly Overpriced
The Wind Sycamore Holiday Villas İn Belek,24192.9,15456.1,8736.800000000001,36.11,Significantly Overpriced
Mersoy Bellavista +14,8417.7,13527.4,-5109.699999999999,60.7,Significantly Overpriced
Lupia Suite,19465.6,15031.4,4434.199999999999,22.78,Significantly Overpriced
Luwi Life Concept,8904.1,7036.2,1867.9000000000005,20.98,Significantly Overpriced
Mare Deluxe Residence,43178.1,12970.3,30207.8,69.96,Significantly Overpriced
Mara Bahçe Alaçatı,10000.0,11668.2,-1668.2000000000007,16.68,Overpriced
Villa Levante Hotel,18000.0,13527.4,4472.6,24.85,Significantly Overpriced
Uk Blue Coast Hotel,13680.0,12008.6,1671.3999999999996,12.22,Overpriced
Üstün Hotel Alsancak,6361.1,9562.2,-3201.1000000000004,50.32,Significantly Overpriced
Villa Mila Alaçatı,12000.0,10679.5,1320.5,11.0,Overpriced
Yalıpark Beach Hotel,17190.4,13468.5,3721.9000000000015,21.65,Significantly Overpriced
Alados Otel,39168.0,15839.7,23328.3,59.56,Significantly Overpriced
Z Otel Çeşme,7315.0,12358.7,-5043.700000000001,68.95,Significantly Overpriced
Collesium Garden,7200.0,7791.0,-591.0,8.21,Slight Overpriced
Club Sideris Otel,41777.9,22866.5,18911.4,45.27,Significantly Overpriced
Alya Villa Butik Hotel,26070.0,15075.9,10994.1,42.17,Significantly Overpriced
Drvilla Suits,3800.0,7238.1,-3438.1000000000004,90.48,Significantly Overpriced
Lujo Bodrum,93399.6,41737.1,51662.50000000001,55.31,Significantly Overpriced
Regnum Carya,71400.0,43900.4,27499.6,38.51,Significantly Overpriced
Sea Bird Hotel,5508.0,10915.0,-5407.0,98.17,Significantly Overpriced
Suess Alaçatı,15600.0,11341.8,4258.200000000001,27.3,Significantly Overpriced
Kalinda Inn Otel,10268.0,11205.8,-937.7999999999993,9.13,Slight Overpriced
Eldar Garden Resort,11169.6,12069.6,-900.0,8.06,Slight Overpriced
Club Bella Mare Beach,12900.0,13882.6,-982.6000000000004,7.62,Slight Overpriced
Adonis Hotel,22500.0,19889.6,2610.4000000000015,11.6,Overpriced
Aska Lara Resort Spa,29836.8,21975.8,7861.0,26.35,Significantly Overpriced
Blue Marlin Deluxe Spa Resort,13440.0,14731.2,-1291.2000000000007,9.61,Slight Overpriced
Bodrum Holiday Resort,10500.0,15138.0,-4638.0,44.17,Significantly Overpriced
City Point Beach Spa Hotel,26623.9,20439.5,6184.4000000000015,23.23,Significantly Overpriced
Club Grand Aqua,24192.0,18776.2,5415.799999999999,22.39,Significantly Overpriced
Club Hotel Turan Prince World,15922.2,16971.2,-1049.0,6.59,Slight Overpriced
Daima Biz Hotel,16065.0,16535.3,-470.2999999999993,2.93,Fair
Diamond Beach Hotel,12600.0,15380.1,-2780.1000000000004,22.06,Significantly Overpriced
Green Nature Resort Spa,20563.2,15935.3,4627.9000000000015,22.51,Significantly Overpriced
Select Apart Hotel,4601.2,8532.0,-3930.8,85.43,Significantly Overpriced
Adrasan Deniz Hotel,16100.8,11681.3,4419.5,27.45,Significantly Overpriced
Justiniano Deluxe Resort,37296.0,22511.5,14784.5,39.64,Significantly Overpriced
Kaya Palazzo Resort Residences Le Chic Bodrum,14700.0,15173.7,-473.7000000000007,3.22,Fair
Laur Hotels Experience Elegance,27972.0,21858.9,6113.0999999999985,21.85,Significantly Overpriced
Balmy Beach Resort Kemer,5999.9,10413.3,-4413.4,73.56,Significantly Overpriced
Sui Resort Hotel,37719.6,22259.0,15460.599999999999,40.99,Significantly Overpriced
Side Win Hotel,14767.2,10705.3,4061.9000000000015,27.51,Significantly Overpriced
Maja Luxury Resort Hotel Çeşme,47039.0,25575.1,21463.9,45.63,Significantly Overpriced
Side Bay Hotel,7442.3,9559.2,-2116.9000000000005,28.44,Significantly Overpriced
Class Unique Beach Hotel +13,21600.0,13527.4,8072.6,37.37,Significantly Overpriced
Jacaranda Luxury Hotel,5600.0,21142.0,-15542.0,277.54,Significantly Overpriced
Dikelya Otel Dikili,12000.0,12148.3,-148.29999999999927,1.24,Fair
Tamara Business Antalya,6600.0,9447.0,-2847.0,43.14,Significantly Overpriced
Novva Hotels Kaş,11012.0,10030.9,981.1000000000004,8.91,Slight Overpriced
Kahveci Alibey Hotel Luxury Concept,8305.7,11437.2,-3131.5,37.7,Significantly Overpriced
Costa Viva Hotel,9369.0,10104.4,-735.3999999999996,7.85,Slight Overpriced
İsnova Hotel,8700.0,12660.5,-3960.5,45.52,Significantly Overpriced
Acapulco Resort Convention Spa Hotel,28470.0,21418.7,7051.299999999999,24.77,Significantly Overpriced
Akrones Thermal Hotel Spa,15744.0,20774.4,-5030.4000000000015,31.95,Significantly Overpriced
Bn Hotel Thermal Wellness,23120.0,18239.7,4880.299999999999,21.11,Significantly Overpriced
Concorde Tower Casino Convention Spa,30240.0,19861.4,10378.599999999999,34.32,Significantly Overpriced
