otel_ad,fiyat,Predicted Price (Average),Price Difference,Fair Price Percentage,Fair Price Range
Solo Boutique Hotel,18400.0,11548.9,6851.1,37.23,Significantly Overpriced
Blue Diamond Alya Hotel,10245.6,12731.7,-2486.1,24.27,Significantly Overpriced
Kapela Taş Otel Alaçatı,8000.0,10927.9,-2927.9,36.6,Significantly Overpriced
Hotel Karacam,13765.0,11615.6,2149.4,15.61,Overpriced
İon Slow City Adult Only (+12),9600.0,13001.9,-3401.9,35.44,Significantly Overpriced
Hotel Gold Stone,3000.0,7401.3,-4401.3,146.71,Significantly Overpriced
Bodrum Vera Hotel,6952.0,9825.4,-2873.4,41.33,Significantly Overpriced
Çeşme Ladin Otel,9900.0,15155.0,-5255.0,53.08,Significantly Overpriced
Hotel 212,10374.0,11105.5,-731.5,7.05,Slight Overpriced
Hildegard Hotel,9458.9,8489.6,969.3,10.25,Overpriced
Sey Beach Hotel Spa,13942.7,14762.0,-819.3,5.88,Slight Overpriced
Veranda Suites,9476.5,8699.6,776.9,8.2,Slight Overpriced
Vadi Boutique Hotel,8160.0,9685.3,-1525.3,18.69,Overpriced
De Mare Family Hotel,4000.0,9972.4,-5972.4,149.31,Significantly Overpriced
Cleopatra Golden Beach,11100.0,13095.1,-1995.1,17.97,Overpriced
Caprice Beach Hotel,12922.5,16167.0,-3244.5,25.11,Significantly Overpriced
Karyatit Hotel,6828.2,9009.6,-2181.4,31.95,Significantly Overpriced
Club Herakles Hotel,4200.0,10380.5,-6180.5,147.15,Significantly Overpriced
Start Otel,5686.2,7008.1,-1321.9,23.25,Significantly Overpriced
Melissa Moment Apart,6750.0,9943.5,-3193.5,47.31,Significantly Overpriced
Lucky Angel Otel,9072.4,11611.7,-2539.3,27.99,Significantly Overpriced
Delta Hotel Didim,5200.0,10031.4,-4831.4,92.91,Significantly Overpriced
Kekik Alaçatı Otel Mayko,5800.0,12333.1,-6533.1,112.64,Significantly Overpriced
My Adress Alaçatı,48956.3,17982.2,30974.1,63.27,Significantly Overpriced
Khai Hotel Bodrum,28503.2,17328.8,11174.4,39.2,Significantly Overpriced
Doğan Beach Resort,18830.5,12172.3,6658.2,35.36,Significantly Overpriced
Vinifera Ephesus Hotel,10323.7,11576.9,-1253.2,12.14,Overpriced
Villa Sonata Hotel,6575.2,13865.0,-7289.8,110.87,Significantly Overpriced
La Siete Hotel,12513.6,12484.4,29.2,0.23,Fair
Club Hotel Sidelya,16184.0,15789.5,394.5,2.44,Fair
La Mira Suites,7700.0,12777.3,-5077.3,65.94,Significantly Overpriced
Sun Pearl Resort Çeşme,10800.0,19279.9,-8479.9,78.52,Significantly Overpriced
Zübeyde Hanım Otel Alaçatı,4400.0,10380.5,-5980.5,135.92,Significantly Overpriced
Ados Hotel,3600.0,9330.8,-5730.8,159.19,Significantly Overpriced
Terra Rossa,4004.3,6276.5,-2272.2,56.74,Significantly Overpriced
Doğan Paradise Family Club,18830.5,11373.6,7456.9,39.6,Significantly Overpriced
Club Sun Heaven Sea Bird Beach Otel,6681.6,12988.2,-6306.6,94.39,Significantly Overpriced
Cooks Club Alanya +12 Adult Only,11262.2,13001.9,-1739.7,15.45,Overpriced
Qinn Hotel,9864.0,10870.4,-1006.4,10.2,Overpriced
Radisson Blu Hotel Kaş +12 Adults Only,30032.6,13001.9,17030.7,56.71,Significantly Overpriced
Turunç Dream Hotel,6300.0,11470.9,-5170.9,82.08,Significantly Overpriced
Lemon Garden,17600.0,12600.5,4999.5,28.41,Significantly Overpriced
Gün-ay Otel,5881.4,8848.5,-2967.1,50.45,Significantly Overpriced
The Lifeco Bodrum,90376.0,29970.3,60405.7,66.84,Significantly Overpriced
Lara Park Hotel,8568.0,10511.9,-1943.9,22.69,Significantly Overpriced
Grand Zeybek İzmir,4449.2,7680.7,-3231.5,72.63,Significantly Overpriced
İsla Panorama,7938.0,12242.2,-4304.2,54.22,Significantly Overpriced
Gümbet Anıl Beach,8971.5,10057.4,-1085.9,12.1,Overpriced
Extenso Hotel,9021.6,12109.1,-3087.5,34.22,Significantly Overpriced
Costa Farilya Special Class Hotel Bodrum,20700.0,14850.4,5849.6,28.26,Significantly Overpriced
Life Point Boutique Hotel,12000.0,17959.6,-5959.6,49.66,Significantly Overpriced
Alaçatı Private Otel,6003.0,9719.2,-3716.2,61.91,Significantly Overpriced
Hotel Labella Bergama,8400.0,11146.5,-2746.5,32.7,Significantly Overpriced
Yörük Ali Yayla Evleri,11720.0,10380.5,1339.5,11.43,Overpriced
Alaçatı Limonaia Hotel +10,13596.0,13001.9,594.1,4.37,Fair
Hotel Finike Marine,5777.2,11914.8,-6137.6,106.24,Significantly Overpriced
Hotel Paris Prestige,8352.0,9424.3,-1072.3,12.84,Overpriced
Hotel Royal Hill,9982.0,12753.3,-2771.3,27.76,Significantly Overpriced
Fun And Sun Club Saphire,12920.0,19215.6,-6295.6,48.73,Significantly Overpriced
Göbene Otel Alaçatı,15316.4,11061.1,4255.3,27.78,Significantly Overpriced
Lord Marina Hotel Bungalows,13600.0,12033.4,1566.6,11.52,Overpriced
Carmen Suite Hotel,5294.1,8255.3,-2961.2,55.93,Significantly Overpriced
Maison Green Hill,10500.0,13495.5,-2995.5,28.53,Significantly Overpriced
Hotel Torbahan Beach Resort,20973.9,18152.1,2821.8,13.45,Overpriced
İntermar Marmaris,4000.0,11145.2,-7145.2,178.63,Significantly Overpriced
Lvzz Hotel Residencess Spa,14000.0,10715.1,3284.9,23.46,Significantly Overpriced
Villa Saray,10200.0,10953.3,-753.3,7.39,Slight Overpriced
Casa Luna Hotel Alaçatı,20384.0,13677.7,6706.3,32.9,Significantly Overpriced
Jasmin Elite Residence Spa,13733.6,15460.7,-1727.1,12.58,Overpriced
Doğanın Ruhu Otel Bungalow,7940.0,15493.1,-7553.1,95.13,Significantly Overpriced
Çeşme Marina Konuk Evi,20173.8,15702.6,4471.2,22.16,Significantly Overpriced
Zena Hotel Bodrum,6860.0,10826.2,-3966.2,57.82,Significantly Overpriced
Serin Otel,10000.0,12629.8,-2629.8,26.3,Significantly Overpriced
777 Alaçatı,16000.0,14167.3,1832.7,11.45,Overpriced
L`olive Homes Marmaris,13915.8,10643.6,3272.2,23.51,Significantly Overpriced
1882 Alaçatı,13780.8,10545.5,3235.3,23.48,Significantly Overpriced
Adacan Alaçatı,14875.0,11775.7,3099.3,20.84,Significantly Overpriced
Alacope Alaçatı,12000.0,12062.4,-62.4,0.52,Fair
Ahsen Hotel,3291.7,8118.7,-4827.0,146.64,Significantly Overpriced
Dream Town Hotel,5040.0,9566.4,-4526.4,89.81,Significantly Overpriced
Alaçatı Balbadem Otel,11885.5,10023.6,1861.9,15.67,Overpriced
Alaçatı Cadde 75 Luxury +18 Adult,21560.0,13001.9,8558.1,39.69,Significantly Overpriced
Riva Alaçatı,8000.0,11202.3,-3202.3,40.03,Significantly Overpriced
Regulus Beach Resort,7600.0,11809.9,-4209.9,55.39,Significantly Overpriced
Kemerlihan Deluxe Hotel,3750.0,12063.1,-8313.1,221.68,Significantly Overpriced
Elegance East Hotel,6641.1,9039.9,-2398.8,36.12,Significantly Overpriced
Sakız Kızı Alaçatı Butik Otel,5500.0,12109.3,-6609.3,120.17,Significantly Overpriced
Kimera Lounge Hotel Çıralı,9040.0,12055.9,-3015.9,33.36,Significantly Overpriced
Alaçatı Sörf Hotel,9350.0,8297.3,1052.7,11.26,Overpriced
Apaz Alaçatı,13600.0,10540.4,3059.6,22.5,Significantly Overpriced
Alaçatı Otel Rebetiko,5950.0,8252.7,-2302.7,38.7,Significantly Overpriced
Aybel İnn Hotel,4725.5,10875.7,-6150.2,130.15,Significantly Overpriced
Antalya Business Hotel,13017.8,10050.1,2967.7,22.8,Significantly Overpriced
Anchor Alaçatı,7000.0,11775.7,-4775.7,68.22,Significantly Overpriced
Alaçatı Xl Luxury,7608.2,11240.8,-3632.6,47.75,Significantly Overpriced
Aslı Bungalow,12600.0,13001.9,-401.9,3.19,Fair
Anar Hotel,18000.0,18439.2,-439.2,2.44,Fair
Alya Sierra Villa Hotel,10000.0,9812.2,187.8,1.88,Fair
Artof Alaçatı,10000.0,12121.1,-2121.1,21.21,Significantly Overpriced
Bayındır Palme Hotel,4866.4,6346.6,-1480.2,30.42,Significantly Overpriced
Tema 242 Hotel,2113.4,7997.3,-5883.9,278.41,Significantly Overpriced
Bedroom Alaçatı,5750.0,11019.1,-5269.1,91.64,Significantly Overpriced
Bodrum Kayası Dağ Oteli,9000.0,12892.4,-3892.4,43.25,Significantly Overpriced
Bo Alaçatı,13000.0,10783.1,2216.9,17.05,Overpriced
Veltur Turiya Hotel Spa,11600.0,18148.1,-6548.1,56.45,Significantly Overpriced
Ada Capra Otel,14599.2,19133.7,-4534.5,31.06,Significantly Overpriced
Boulevard Hotel,7480.0,12784.6,-5304.6,70.92,Significantly Overpriced
Adrasan La Casita Boutique Hotel,8800.0,11057.3,-2257.3,25.65,Significantly Overpriced
Sonnen Hotel,9963.0,9805.5,157.5,1.58,Fair
3 House Apart,23920.0,13006.2,10913.8,45.63,Significantly Overpriced
Adil Butik Otel,15294.4,13035.7,2258.7,14.77,Overpriced
Şifne Thermal Hotel,14000.0,13603.5,396.5,2.83,Fair
Tash Mekan Butik Otel,8500.0,11028.5,-2528.5,29.75,Significantly Overpriced
Amour Köy İçi,11996.0,11290.0,706.0,5.89,Slight Overpriced
Alanarin Alaçatı,18200.3,14881.5,3318.8,18.23,Overpriced
Alaçatı Marina Palace,22400.0,16910.8,5489.2,24.51,Significantly Overpriced
Alina Otel Kaş,13500.0,11876.9,1623.1,12.02,Overpriced
Alaçatı Sultan Konak,11509.0,10835.6,673.4,5.85,Slight Overpriced
Ali`s Boutique Hotel,24000.0,17566.4,6433.6,26.81,Significantly Overpriced
Alaçatı Sade Otel,17576.2,12241.8,5334.4,30.35,Significantly Overpriced
Alaçatı Roka Taş Otel,10000.0,10832.5,-832.5,8.33,Slight Overpriced
Alice Tatil Evi,16076.8,16158.3,-81.5,0.51,Fair
Buca Residence Otel,7000.0,10593.6,-3593.6,51.34,Significantly Overpriced
Antmare Hotel,21516.6,16487.3,5029.3,23.37,Significantly Overpriced
Club Wasa Holiday Village,9253.4,10380.5,-1127.1,12.18,Overpriced
Boutique Nergiz Hotel,4800.0,9680.7,-4880.7,101.68,Significantly Overpriced
Arts Hotel Bodrum Yalıkavak,6800.0,13900.2,-7100.2,104.41,Significantly Overpriced
Aroma Butik Hotel,11200.0,10316.4,883.6,7.89,Slight Overpriced
Armel Alaçatı,13139.3,11659.0,1480.3,11.27,Overpriced
Castle Old Town Hotel,8903.6,11115.0,-2211.4,24.84,Significantly Overpriced
Aspat Hotel Bodrum Beach Restaurant,48385.9,17768.5,30617.4,63.28,Significantly Overpriced
Coordinat Suits,9890.0,14043.4,-4153.4,42.0,Significantly Overpriced
Aspen Hotel,6120.0,9813.2,-3693.2,60.35,Significantly Overpriced
Bergama Taşkonak,6200.0,12918.1,-6718.1,108.36,Significantly Overpriced
Bambu Alaçatı,10000.0,9967.1,32.9,0.33,Fair
Costa Maya Bodrum,8934.7,10773.0,-1838.3,20.57,Significantly Overpriced
Belsea Hotel,12520.8,9398.0,3122.8,24.94,Significantly Overpriced
Belong Butik Hotel,4796.0,10380.5,-5584.5,116.44,Significantly Overpriced
Avantgarde Refined Yalıkavak,9732.8,13973.0,-4240.2,43.57,Significantly Overpriced
Bu Bungalow Hotel,8800.0,9446.1,-646.1,7.34,Slight Overpriced
Blue White Hotel,13069.7,12808.0,261.7,2.0,Fair
Bodrum Marma Otel,5940.0,10196.0,-4256.0,71.65,Significantly Overpriced
Chez Rumi Butik Otel Şirince,8000.0,11637.3,-3637.3,45.47,Significantly Overpriced
Dionisus Lara Otel,4896.0,9437.8,-4541.8,92.77,Significantly Overpriced
Char Me Hotel,18900.0,10546.3,8353.7,44.2,Significantly Overpriced
Caresse A Luxury Collection Resort Spa,94828.2,20057.8,74770.4,78.85,Significantly Overpriced
Cocopalm Boutique Hotel,24000.0,12961.0,11039.0,46.0,Significantly Overpriced
Casa Bi Otel,43920.0,22308.1,21611.9,49.21,Significantly Overpriced
Coastline Boutique Hotel,7400.0,9114.5,-1714.5,23.17,Significantly Overpriced
Club Çapa,7195.1,15921.2,-8726.1,121.28,Significantly Overpriced
Elda Köyiçi Alaçatı,4840.0,9886.7,-5046.7,104.27,Significantly Overpriced
Elda Alaçatı Butik Otel,6700.0,8268.6,-1568.6,23.41,Significantly Overpriced
Çeşme Marin Butik Otel,18394.9,12778.8,5616.1,30.53,Significantly Overpriced
The Sansa Hotel,7760.0,12636.3,-4876.3,62.84,Significantly Overpriced
Dionysos 1789 Boutique Hotel,6730.5,15033.7,-8303.2,123.37,Significantly Overpriced
Der Inn Hotel Lara,6131.6,9295.2,-3163.6,51.6,Significantly Overpriced
Dolunay Suit Beach,11900.0,12109.3,-209.3,1.76,Fair
Dolphin Butik Otel,17850.0,15780.7,2069.3,11.59,Overpriced
Ena Boutique Hotel,15068.4,11242.4,3826.0,25.39,Significantly Overpriced
Deniz Kızı Otel,13124.0,13828.6,-704.6,5.37,Slight Overpriced
Ena Serenity Boutique Hotel,6800.0,10280.6,-3480.6,51.19,Significantly Overpriced
Dream Time Hotel,8309.5,10555.1,-2245.6,27.02,Significantly Overpriced
Esmeralda Butik Otel,22530.9,11397.0,11133.9,49.42,Significantly Overpriced
Evin Park Suit,11386.6,8342.7,3043.9,26.73,Significantly Overpriced
Espira By Antioch,12400.0,11437.0,963.0,7.77,Slight Overpriced
Fener Konaklama,20000.0,13687.0,6313.0,31.56,Significantly Overpriced
Espina Hotel,11298.2,7599.3,3698.9,32.74,Significantly Overpriced
Ertan Otel Çeşme,10200.0,13434.0,-3234.0,31.71,Significantly Overpriced
Perla Otel Dikili,6600.0,11777.9,-5177.9,78.45,Significantly Overpriced
Geo Beach Hotel,5500.0,12188.7,-6688.7,121.61,Significantly Overpriced
Gümüş Peninsula Hotel,20100.4,16430.9,3669.5,18.26,Overpriced
Etiz Hotels Alaçatı,4226.8,8992.7,-4765.9,112.75,Significantly Overpriced
Hera Hotels Alaçatı,10000.0,11563.2,-1563.2,15.63,Overpriced
Hill House (Adult Only),16267.6,13001.9,3265.7,20.07,Significantly Overpriced
Helis Suites Bitez,20927.4,14878.9,6048.5,28.9,Significantly Overpriced
Hillcity Hotel Kaş,12399.1,12734.3,-335.2,2.7,Fair
Hadrian Gate Hotel,9698.0,7894.4,1803.6,18.6,Overpriced
Hotel 1207 Special Class,9708.1,11248.6,-1540.5,15.87,Overpriced
Hotel B House Alaçatı,34000.0,18174.9,15825.1,46.54,Significantly Overpriced
Expo Park Hotel,17200.0,13784.0,3416.0,19.86,Overpriced
Houdini Hotel Urla,10000.0,13873.3,-3873.3,38.73,Significantly Overpriced
İlios Butik Hotel,14520.0,14961.2,-441.2,3.04,Fair
"G Beyond Apartments Villas, Yalıkavak",13868.2,13001.9,866.3,6.25,Slight Overpriced
İğdeli Han Suite,18000.0,9117.0,8883.0,49.35,Significantly Overpriced
Hotel Pier Bodrum,9760.0,9511.0,249.0,2.55,Fair
Gözegir Hotel +16,10010.8,13001.9,-2991.1,29.88,Significantly Overpriced
Isolina Bodrum,12902.8,15603.6,-2700.8,20.93,Significantly Overpriced
İberis Lara Hotel,5007.0,9076.2,-4069.2,81.27,Significantly Overpriced
Just Dream Suite,6000.0,9485.9,-3485.9,58.1,Significantly Overpriced
İmaj Beach Otel,11200.0,12630.4,-1430.4,12.77,Overpriced
Joya Del Mar Hotel,28800.0,19722.6,9077.4,31.52,Significantly Overpriced
June Alaçatı (15+ Adult Only),19200.0,13001.9,6198.1,32.28,Significantly Overpriced
İrenic Hotel,9385.2,10098.1,-712.9,7.6,Slight Overpriced
İnci Mira Hotel,7791.5,7975.6,-184.1,2.36,Fair
Kalamar Hotel,8721.4,13115.1,-4393.7,50.38,Significantly Overpriced
La Luna Butik Otel,10117.0,13001.9,-2884.9,28.52,Significantly Overpriced
Kaliptus Hotel,4200.0,10593.0,-6393.0,152.21,Significantly Overpriced
Lal Azure Hotel Alaçatı,9996.0,10912.9,-916.9,9.17,Slight Overpriced
Jura Hotels Bodrum Resort,8703.5,12463.2,-3759.7,43.2,Significantly Overpriced
La Cactus Butik Otel,9732.8,13175.1,-3442.3,35.37,Significantly Overpriced
Kalkan Saray Suites (Adult Only +13),13920.0,13001.9,918.1,6.6,Slight Overpriced
Lacitrus Villa Hotel,10015.1,11576.8,-1561.7,15.59,Overpriced
Kamelya Otel Selimiye,10000.0,13648.0,-3648.0,36.48,Significantly Overpriced
Lavender Otel,4400.0,11160.3,-6760.3,153.64,Significantly Overpriced
La Vida Triangulo Hotel,23000.0,11313.2,11686.8,50.81,Significantly Overpriced
Lara Garden Hotel,7369.1,9709.0,-2339.9,31.75,Significantly Overpriced
Lazz Hotel By Ketenci,8148.0,12443.1,-4295.1,52.71,Significantly Overpriced
Lara Beach Homes,5151.4,6843.7,-1692.3,32.85,Significantly Overpriced
Korsan Ada Hotel,9465.8,11332.6,-1866.8,19.72,Overpriced
Likya Gardens Hotel,27484.0,17779.1,9704.9,35.31,Significantly Overpriced
Leaf River Suites,11682.7,9230.9,2451.8,20.99,Significantly Overpriced
Likya Pavilion Hotel,44009.5,16176.9,27832.6,63.24,Significantly Overpriced
London House Hotel,2795.0,9296.0,-6501.0,232.59,Significantly Overpriced
Leylak Alaçatı,10000.0,11557.8,-1557.8,15.58,Overpriced
Lemon Park House,4500.0,9660.4,-5160.4,114.68,Significantly Overpriced
Likya Residence Hotel Spa,25869.4,21844.5,4024.9,15.56,Overpriced
Lilyum Alaçatı Taş Ev,7900.0,11916.3,-4016.3,50.84,Significantly Overpriced
Lukka Exclusive Hotel,24909.2,19649.9,5259.3,21.11,Significantly Overpriced
Lures Hotel,36960.0,24679.1,12280.9,33.23,Significantly Overpriced
Lilium Boutique Hotel,11394.6,10208.5,1186.1,10.41,Overpriced
Livaneli Boutique Hotel,7000.0,7283.1,-283.1,4.04,Fair
The Wind Sycamore Holiday Villas İn Belek,24192.9,13838.2,10354.7,42.8,Significantly Overpriced
Mersoy Bellavista +14,8417.7,13001.9,-4584.2,54.46,Significantly Overpriced
Lupia Suite,19465.6,13658.5,5807.1,29.83,Significantly Overpriced
Luwi Life Concept,8904.1,8343.3,560.8,6.3,Slight Overpriced
Mare Deluxe Residence,43178.1,13520.6,29657.5,68.69,Significantly Overpriced
Mara Bahçe Alaçatı,10000.0,12628.7,-2628.7,26.29,Significantly Overpriced
Villa Levante Hotel,18000.0,13001.9,4998.1,27.77,Significantly Overpriced
Uk Blue Coast Hotel,13680.0,10544.1,3135.9,22.92,Significantly Overpriced
Üstün Hotel Alsancak,6361.1,8520.4,-2159.3,33.95,Significantly Overpriced
Villa Mila Alaçatı,12000.0,11593.9,406.1,3.38,Fair
Yalıpark Beach Hotel,17190.4,11523.3,5667.1,32.97,Significantly Overpriced
Alados Otel,39168.0,12525.9,26642.1,68.02,Significantly Overpriced
Z Otel Çeşme,7315.0,11671.8,-4356.8,59.56,Significantly Overpriced
Collesium Garden,7200.0,10276.6,-3076.6,42.73,Significantly Overpriced
Club Sideris Otel,41777.9,17104.9,24673.0,59.06,Significantly Overpriced
Alya Villa Butik Hotel,26070.0,16340.3,9729.7,37.32,Significantly Overpriced
Drvilla Suits,3800.0,9161.6,-5361.6,141.09,Significantly Overpriced
Lujo Bodrum,93399.6,39951.4,53448.2,57.23,Significantly Overpriced
Regnum Carya,71400.0,49292.9,22107.1,30.96,Significantly Overpriced
Sea Bird Hotel,5508.0,10776.1,-5268.1,95.64,Significantly Overpriced
Suess Alaçatı,15600.0,10201.3,5398.7,34.61,Significantly Overpriced
Kalinda Inn Otel,10268.0,10122.4,145.6,1.42,Fair
Eldar Garden Resort,11169.6,12513.6,-1344.0,12.03,Overpriced
Club Bella Mare Beach,12900.0,15361.4,-2461.4,19.08,Overpriced
Adonis Hotel,22500.0,23294.3,-794.3,3.53,Fair
Aska Lara Resort Spa,29836.8,27598.3,2238.5,7.5,Slight Overpriced
Blue Marlin Deluxe Spa Resort,13440.0,18620.5,-5180.5,38.55,Significantly Overpriced
Bodrum Holiday Resort,10500.0,21560.2,-11060.2,105.34,Significantly Overpriced
City Point Beach Spa Hotel,26623.9,23553.1,3070.8,11.53,Overpriced
Club Grand Aqua,24192.0,18365.5,5826.5,24.08,Significantly Overpriced
Club Hotel Turan Prince World,15922.2,23528.8,-7606.6,47.77,Significantly Overpriced
Daima Biz Hotel,16065.0,20723.9,-4658.9,29.0,Significantly Overpriced
Diamond Beach Hotel,12600.0,18290.4,-5690.4,45.16,Significantly Overpriced
Green Nature Resort Spa,20563.2,17178.2,3385.0,16.46,Overpriced
Select Apart Hotel,4601.2,7207.6,-2606.4,56.65,Significantly Overpriced
Adrasan Deniz Hotel,16100.8,12134.8,3966.0,24.63,Significantly Overpriced
Justiniano Deluxe Resort,37296.0,23069.7,14226.3,38.14,Significantly Overpriced
Kaya Palazzo Resort Residences Le Chic Bodrum,14700.0,18598.3,-3898.3,26.52,Significantly Overpriced
Laur Hotels Experience Elegance,27972.0,20939.1,7032.9,25.14,Significantly Overpriced
Balmy Beach Resort Kemer,5999.9,13631.6,-7631.7,127.2,Significantly Overpriced
Sui Resort Hotel,37719.6,22538.8,15180.8,40.25,Significantly Overpriced
Side Win Hotel,14767.2,12331.5,2435.7,16.49,Overpriced
Maja Luxury Resort Hotel Çeşme,47039.0,21656.7,25382.3,53.96,Significantly Overpriced
Side Bay Hotel,7442.3,8669.8,-1227.5,16.49,Overpriced
Class Unique Beach Hotel +13,21600.0,13001.9,8598.1,39.81,Significantly Overpriced
Jacaranda Luxury Hotel,5600.0,23455.7,-17855.7,318.85,Significantly Overpriced
Dikelya Otel Dikili,12000.0,11351.3,648.7,5.41,Slight Overpriced
Tamara Business Antalya,6600.0,11589.4,-4989.4,75.6,Significantly Overpriced
Novva Hotels Kaş,11012.0,11386.5,-374.5,3.4,Fair
Kahveci Alibey Hotel Luxury Concept,8305.7,10967.5,-2661.8,32.05,Significantly Overpriced
Costa Viva Hotel,9369.0,8928.6,440.4,4.7,Fair
İsnova Hotel,8700.0,14322.0,-5622.0,64.62,Significantly Overpriced
Acapulco Resort Convention Spa Hotel,28470.0,23026.3,5443.7,19.12,Overpriced
Akrones Thermal Hotel Spa,15744.0,28742.1,-12998.1,82.56,Significantly Overpriced
Bn Hotel Thermal Wellness,23120.0,41043.8,-17923.8,77.53,Significantly Overpriced
Concorde Tower Casino Convention Spa,30240.0,21377.3,8862.7,29.31,Significantly Overpriced
